,athlete,avg_weekly_mileage,avg_pace_km,avg_training_days,avg_fatigue_index,avg_consistency_index,avg_recovery_ratio,avg_elevation,avg_training_intensity,kmeans_k2,kmeans_k3,cluster
0,771514,7.442904596660976,6.098328144897749,1.7073170731707317,3.843163241919553,3.129686511996234,4.008130081300814,108.89512195121952,0.1702600779131584,0,1,1
1,1776170,16.298664509686347,6.000139347577273,2.3247232472324724,15.77476221185832,6.8495282945915,2.9244157441574417,625.3985239852399,0.1706915307985832,0,0,0
2,2013538,13.85185339947162,6.025287488911223,1.972972972972973,8.970992157536916,5.759327958201762,3.5405405405405403,587.8040540540541,0.1724554410240986,0,1,1
3,2081128,18.13923498896911,5.661235863879258,2.375796178343949,14.484708441144168,6.731816634053756,2.7363057324840763,591.9248407643312,0.1791511768720351,0,0,0
4,2138770,17.40552128481179,6.078719582778493,2.2401746724890828,12.24550238361886,7.531098831319029,2.906550218340612,1106.0021834061135,0.1738131482585423,0,0,0
5,2683270,9.543498086628407,5.3138224551320254,1.6704545454545454,12.52058756748947,3.41929237113168,4.654734848484849,181.49318181818185,0.1903154290420917,0,1,1
6,2913078,13.47958914948684,6.492822254556531,2.0789473684210527,13.347282720946623,6.611002507753189,3.304824561403509,448.65263157894736,0.1616455863661564,0,1,1
7,3460571,13.717336200632184,5.628596379539242,2.2298850574712645,18.504647954893983,7.271338678583753,3.3781609195402296,255.5528735632184,0.1811961067013274,0,0,0
8,3539760,13.291993234733756,5.95381789113434,2.1528662420382165,16.775342781143824,5.849422571054334,3.379617834394905,298.36114649681525,0.1704977758808623,0,1,1
9,3573750,30.645440795822417,5.853129202135122,3.683274021352313,63.45544391473205,9.69709757683731,1.2851720047449584,493.1277580071174,0.1718804935439186,1,2,2
10,5035018,21.822073135566665,5.697513726604858,2.963768115942029,35.913930294499465,8.504333739191411,2.156219806763285,591.806884057971,0.1787426287938635,0,0,0
11,5151970,26.795516851802844,5.948725146690595,3.3579545454545454,38.67751540835026,8.068555873367155,1.4413352272727271,1538.056534090909,0.1732037829173894,1,0,0
12,5421161,20.52456572618923,5.148376557465484,2.917948717948718,28.20972202193323,7.288089846613668,2.037777777777778,391.7307692307692,0.1989431594691582,0,0,0
13,5492554,17.61477349510448,6.754022396923816,2.417910447761194,22.326882030725105,8.550602662842858,3.1276119402985074,916.8656716417912,0.153724977413598,0,0,0
