athlete,timestamp,weekly_distance_m,weekly_mileage,weekly_time_s,avg_weekly_pace_km,avg_weekly_pace_mile,weekly_elevation_m,average heart rate (bpm),training_days,weekly_mileage_change,consistency_index,rest_days,recovery_ratio,fatigue_index,cumulative_mileage,training_intensity,actual_training_days
6583234,2018-10-22,10281.9,6.3888744849,3714,6.020288079051537,9.68871749574978,128.0,,1,-10.9623514562,6.9586470493944725,6,6.0,1.06481241415,2742.3818864012,0.16610500807754444,1
6583234,2018-10-29,16088.9,9.9971758819,5002,5.181626255782972,8.33902170487997,316.0,,1,3.608301397000001,4.7727437969504605,6,6.0,1.6661959803166668,2752.3790622831,0.1929896041583367,1
6583234,2018-11-05,9199.9,5.7165510629,3236,5.862382562129299,9.434593120904095,99.0,,1,-4.280624819000001,5.333982782126718,6,6.0,0.9527585104833333,2758.095613346,0.17057911001236092,1
6583234,2018-11-12,12767.0,7.933043557,4876,6.365369050416438,10.244071658343303,150.0,,1,2.2164924941000006,1.9007355144507634,6,6.0,1.3221739261666667,2766.028656903,0.15710008203445447,1
6583234,2018-11-19,23910.100000000002,14.857042747100001,7410,5.196769810562444,8.363392901442845,315.0,,3,6.923999190100001,3.900917509948182,4,1.3333333333333333,11.142782060325002,2780.8856996501,0.19242722622955097,3
6583234,2018-11-26,10522.2,6.5381899362,3591,5.6879739978331525,9.153909657568752,133.0,,1,-8.318852810900001,4.165605309564214,6,6.0,1.0896983227,2787.4238895863,0.1758095238095238,1
6583234,2018-12-03,15221.3,9.4580744023,5156,5.639507553965274,9.075910452797563,265.0,,3,2.919884466099999,3.641096412941515,4,1.3333333333333333,7.0935558017249996,2796.8819639886,0.17732044694166177,3
6583234,2018-12-10,15403.0,9.570977513,5334,5.771602934493281,9.288497426647334,296.0,,1,0.11290311070000136,3.464473623203877,6,6.0,1.5951629188333334,2806.4529415016,0.1732620922384702,1
6583234,2018-12-17,33495.899999999994,20.8133808789,11762,5.901537677468501,9.497607190339588,592.0,,3,11.242403365899998,6.303781721867636,4,1.3333333333333333,15.610035659174999,2827.2663223805002,0.16944736349272208,3
6583234,2018-12-24,20776.4,12.909852444400002,7466,5.989167196113539,9.638633274023954,618.0,,1,-7.9035284344999965,5.329759101075191,6,6.0,2.151642074066667,2840.1761748249,0.16696812215376375,1
6583234,2018-12-31,40972.9,25.4593718459,15097,5.889981143892298,9.479008746614015,1034.0,,4,12.5495194015,7.254436715531864,3,0.75,33.945829127866666,2865.6355466708,0.1697798304561577,4
6583234,2019-01-07,7897.8,4.9074638838,2943,6.2105902909671045,9.994979313432884,140.0,,1,-20.551907962100003,9.041380656005492,6,6.0,0.8179106473000001,2870.5430105546,0.16101529051987767,1
6583234,2019-01-14,43623.6,27.1064399556,15980,6.250215408455939,10.058749778241888,996.0,,3,22.198976071799997,10.571029789490614,4,1.3333333333333333,20.3298299667,2897.6494505102,0.1599944857335791,3
6583234,2019-01-21,33061.1,20.5432087681,11182,5.746690909802979,9.248405396780631,966.0,,3,-6.563231187499998,10.122621012662595,4,1.3333333333333333,15.407406576075001,2918.1926592783,0.1740131870141393,3
6583234,2019-01-28,16493.2,10.2483961772,4868,5.167311394987436,8.315984162420577,34.0,,2,-10.294812590900001,9.996038483747464,5,2.5,4.09935847088,2928.4410554555,0.19352423795671625,2
